,Time,CHEM_SNR_LW1,CHEM_SNR_LW2,CHEM_SNR_LW3,CHEM_SNR_LW4,LAT,LON,ALT,LW1,LW2,LW3,LW4
133,55864,-99.0,-99.0,-99.0,-99.0,35.7274887,-78.6963003,3.49,17.920307,-12.690771,-53.447407,-53.379719
134,55865,-99.0,-99.0,-99.0,-99.0,35.7274884,-78.6962997,6.194,20.288528,-11.798349,-56.819202,-52.725857
135,55866,-99.0,-99.0,-99.0,-99.0,35.7274895,-78.6962999,8.628,18.112049,-18.907036,-28.811148,-54.969048
136,55867,-99.0,-99.0,-99.0,-99.0,35.7274907,-78.6963017,11.04,17.505199,-16.681808,-21.804241,-52.576302
137,55868,-99.0,-99.0,-99.0,-99.0,35.7274914,-78.6963037,13.522,9.252914,-11.437654,-11.40884,-51.586441
138,55869,-99.0,-99.0,-99.0,-99.0,35.7274915,-78.6963049,16.043,11.589581,-12.57962,-11.971512,-55.26815
139,55870,24.970516,1.039961,-25.168854,-1.702986,35.727491,-78.6963052,18.532,6.49823,-10.164238,-10.573067,-53.10173
140,55871,24.970516,1.039961,-25.168854,-1.702986,35.7274907,-78.6963047,20.952,10.90723,-12.908209,-11.729712,-50.98682
141,55872,24.970516,1.039961,-25.168854,-1.702986,35.7274906,-78.6963039,22.824,11.05677,-20.160782,-11.658195,-54.742447
142,55873,24.970516,1.039961,-25.168854,-1.702986,35.7274907,-78.6963032,24.127,10.832893,-10.569824,-14.141041,-50.843548
143,55874,24.970516,1.039961,-25.168854,-1.702986,35.727491,-78.6963029,24.911,3.984047,-12.652729,-8.549953,-49.154053
144,55875,24.970516,1.039961,-25.168854,-1.702986,35.7274913,-78.6963029,25.07,11.208385,-10.368435,-14.562428,-51.50856
145,55876,24.970516,1.039961,-25.168854,-1.702986,35.7274915,-78.6963031,24.952,16.070229,-7.797039,-8.583103,-52.490593
146,55877,24.970516,1.039961,-25.168854,-1.702986,35.7274915,-78.6963035,25.026,16.195435,-7.549934,-8.442087,-53.043564
147,55878,24.970516,1.039961,-25.168854,-1.702986,35.7274915,-78.6963037,25.049,15.443878,-7.235466,-8.076334,-52.44561
148,55879,24.970516,1.039961,-25.168854,-1.702986,35.7274913,-78.6963038,25.002,17.406326,-7.202316,-8.05081,-56.210701
149,55880,24.970516,1.039961,-25.168854,-1.702986,35.7274916,-78.6963041,25.041,11.327923,-11.981981,-11.396259,-54.540974
150,55881,24.970516,1.039961,-25.168854,-1.702986,35.7274955,-78.6962906,25.013,21.036858,-11.400682,-18.056135,-58.418617
151,55882,24.970516,1.039961,-25.168854,-1.702986,35.727505,-78.6962515,25.049,12.279133,-9.322199,-11.280605,-52.967857
152,55883,24.723907,0.778168,-21.007328,0.701307,35.7275152,-78.6962082,25.061,13.295071,-14.487912,-10.57122,-50.09436
